FileName,TimeStamp,Model,Member,ScoreDistance,OrthogonalDistance,AlphaLevel,ThresholdSD,ThresholdOD
"enlighten-20210316-135612-544994-WP-00341.csv",2021-03-28 23:23:19,"Actrapid",NA,NA,NA,1e-06,5.77726938801186,1.66142510414303
"enlighten-20210316-135612-544994-WP-00341.csv",2021-03-28 23:23:20,"Actrapid",NA,NA,NA,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-Actrapid-5.csv",2021-03-28 23:23:37,"Actrapid",TRUE,2.22272575586144,1.05146185909924,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-Actrapid-5.csv",2021-03-28 23:23:40,"Actrapid",TRUE,2.22272575586144,1.05146185909924,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-Actrapid-5.csv",2021-03-28 23:23:40,"Mixtard 40",FALSE,11.1508125456085,6.95876282916445,1e-06,5.77726938801186,1.54884894787226
"TestSpectrum-Actrapid-5.csv",2021-03-28 23:23:40,"NovoRapid",FALSE,3.04383395393192,5.97555749389024,3e-07,5.99364928969903,1.65727142912472
"TestSpectrum-Actrapid-5.csv",2021-03-28 23:23:40,"Tresiba",FALSE,2.33943354317391,6.28364353051814,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-Mixtard 40-11.csv",2021-03-28 23:23:46,"Actrapid",FALSE,15.8297166090323,6.72665294606152,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-Mixtard 40-11.csv",2021-03-28 23:23:46,"Mixtard 40",TRUE,1.71366976309821,1.16375858693094,1e-06,5.77726938801186,1.54884894787226
"TestSpectrum-Mixtard 40-11.csv",2021-03-28 23:23:46,"NovoRapid",FALSE,9.95170797165807,4.35161827081483,3e-07,5.99364928969903,1.65727142912472
"TestSpectrum-Mixtard 40-11.csv",2021-03-28 23:23:46,"Tresiba",FALSE,3.9035754698148,4.88879750412591,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-Mixtard 40-11.csv",2021-03-28 23:23:56,"Tresiba",FALSE,3.9035754698148,4.88879750412591,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-Actrapid-4.csv",2021-03-28 23:24:07,"Tresiba",FALSE,2.41205299067831,6.44467550939903,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-Mixtard 40-7.csv",2021-03-28 23:24:13,"Tresiba",FALSE,3.82171590807438,4.92543538320671,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-NovoRapid-15.csv",2021-03-28 23:24:17,"Tresiba",FALSE,1.43132428818957,2.65856778389444,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-NovoRapid-15.csv",2021-03-28 23:24:30,"Actrapid",FALSE,4.54595807407236,5.91817144005164,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-NovoRapid-15.csv",2021-03-28 23:24:30,"Mixtard 40",FALSE,10.9174561606513,5.64103097888919,1e-06,5.77726938801186,1.54884894787226
"TestSpectrum-NovoRapid-15.csv",2021-03-28 23:24:30,"NovoRapid",TRUE,1.76808683506379,1.08096909458682,3e-07,5.99364928969903,1.65727142912472
"TestSpectrum-NovoRapid-15.csv",2021-03-28 23:24:30,"Tresiba",FALSE,1.43132428818957,2.65856778389444,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-Tresiba-15.csv",2021-03-28 23:24:41,"Actrapid",FALSE,32.0353218413616,14.1589371634457,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-Tresiba-15.csv",2021-03-28 23:24:41,"Mixtard 40",FALSE,41.7030501133993,16.4395333405847,1e-06,5.77726938801186,1.54884894787226
"TestSpectrum-Tresiba-15.csv",2021-03-28 23:24:41,"NovoRapid",FALSE,28.3847535121643,9.86284810196699,3e-07,5.99364928969903,1.65727142912472
"TestSpectrum-Tresiba-15.csv",2021-03-28 23:24:41,"Tresiba",TRUE,2.24672573311571,1.41732529978915,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-NovoRapid-6.csv",2021-03-28 23:24:55,"Actrapid",FALSE,5.51357259384183,5.97449601996866,1e-06,5.77726938801186,1.66142510414303
"TestSpectrum-NovoRapid-6.csv",2021-03-28 23:24:55,"Mixtard 40",FALSE,10.3570899415849,5.50803332611088,1e-06,5.77726938801186,1.54884894787226
"TestSpectrum-NovoRapid-6.csv",2021-03-28 23:24:55,"NovoRapid",TRUE,1.34699543296959,1.21328556099886,3e-07,5.99364928969903,1.65727142912472
"TestSpectrum-NovoRapid-6.csv",2021-03-28 23:24:55,"Tresiba",FALSE,1.50724243065723,2.74290280630427,0.001,4.29730461486071,2.28570387559698
"TestSpectrum-NovoRapid-6.csv",2021-03-28 23:25:08,"Tresiba",FALSE,1.50724243065723,2.74290280630427,0.001,4.29730461486071,2.28570387559698
